image,masks,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
107.jpg,107.png,,polyp,small polyp,one polyp,"polyp, located in right of the image",one small polyp,"small polyp, located in right of the image","one polyp, located in right of the image","one small polyp, located in right of the image","['one small polyp which is a projecting growth of tissue located in right of the image', 'one small polyp which is often a bumpy flesh in rectum located in right of the image', 'one small polyp which is a small lump in the lining of colon located in right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
108.jpg,108.png,,polyp,small polyp,one polyp,"polyp, located in right of the image",one small polyp,"small polyp, located in right of the image","one polyp, located in right of the image","one small polyp, located in right of the image","['one small polyp which is a projecting growth of tissue located in right of the image', 'one small polyp which is often a bumpy flesh in rectum located in right of the image', 'one small polyp which is a small lump in the lining of colon located in right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
109.jpg,109.png,,polyp,small polyp,one polyp,"polyp, located in right of the image",one small polyp,"small polyp, located in right of the image","one polyp, located in right of the image","one small polyp, located in right of the image","['one small polyp which is a projecting growth of tissue located in right of the image', 'one small polyp which is often a bumpy flesh in rectum located in right of the image', 'one small polyp which is a small lump in the lining of colon located in right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
11.jpg,11.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
110.jpg,110.png,,polyp,small polyp,one polyp,"polyp, located in right of the image",one small polyp,"small polyp, located in right of the image","one polyp, located in right of the image","one small polyp, located in right of the image","['one small polyp which is a projecting growth of tissue located in right of the image', 'one small polyp which is often a bumpy flesh in rectum located in right of the image', 'one small polyp which is a small lump in the lining of colon located in right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
111.jpg,111.png,,polyp,medium polyp,one polyp,"polyp, located in bottom of the image",one medium polyp,"medium polyp, located in bottom of the image","one polyp, located in bottom of the image","one medium polyp, located in bottom of the image","['one medium polyp which is a projecting growth of tissue located in bottom of the image', 'one medium polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one medium polyp which is a small lump in the lining of colon located in bottom of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
112.jpg,112.png,,polyp,medium polyp,one polyp,"polyp, located in bottom of the image",one medium polyp,"medium polyp, located in bottom of the image","one polyp, located in bottom of the image","one medium polyp, located in bottom of the image","['one medium polyp which is a projecting growth of tissue located in bottom of the image', 'one medium polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one medium polyp which is a small lump in the lining of colon located in bottom of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
113.jpg,113.png,,polyp,small polyp,one polyp,"polyp, located in center of the image",one small polyp,"small polyp, located in center of the image","one polyp, located in center of the image","one small polyp, located in center of the image","['one small polyp which is a projecting growth of tissue located in center of the image', 'one small polyp which is often a bumpy flesh in rectum located in center of the image', 'one small polyp which is a small lump in the lining of colon located in center of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
114.jpg,114.png,,polyp,small polyp,two polyp,"polyp, located in right, right of the image",two small polyp,"small polyp, located in right, right of the image","two polyp, located in right, right of the image","two small polyp, located in right, right of the image","['two small polyp which is a projecting growth of tissue located in right, right of the image', 'two small polyp which is often a bumpy flesh in rectum located in right, right of the image', 'two small polyp which is a small lump in the lining of colon located in right, right of the image', 'two small polyp which is a tissue growth that often resemble mushroom like stalks located in right, right of the image', 'two small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right, right of the image']"
115.jpg,115.png,,polyp,small polyp,one polyp,"polyp, located in right of the image",one small polyp,"small polyp, located in right of the image","one polyp, located in right of the image","one small polyp, located in right of the image","['one small polyp which is a projecting growth of tissue located in right of the image', 'one small polyp which is often a bumpy flesh in rectum located in right of the image', 'one small polyp which is a small lump in the lining of colon located in right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
116.jpg,116.png,,polyp,small polyp,one polyp,"polyp, located in right of the image",one small polyp,"small polyp, located in right of the image","one polyp, located in right of the image","one small polyp, located in right of the image","['one small polyp which is a projecting growth of tissue located in right of the image', 'one small polyp which is often a bumpy flesh in rectum located in right of the image', 'one small polyp which is a small lump in the lining of colon located in right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
117.jpg,117.png,,polyp,small polyp,one polyp,"polyp, located in right of the image",one small polyp,"small polyp, located in right of the image","one polyp, located in right of the image","one small polyp, located in right of the image","['one small polyp which is a projecting growth of tissue located in right of the image', 'one small polyp which is often a bumpy flesh in rectum located in right of the image', 'one small polyp which is a small lump in the lining of colon located in right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
118.jpg,118.png,,polyp,small polyp,one polyp,"polyp, located in bottom of the image",one small polyp,"small polyp, located in bottom of the image","one polyp, located in bottom of the image","one small polyp, located in bottom of the image","['one small polyp which is a projecting growth of tissue located in bottom of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one small polyp which is a small lump in the lining of colon located in bottom of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
119.jpg,119.png,,polyp,small polyp,one polyp,"polyp, located in bottom of the image",one small polyp,"small polyp, located in bottom of the image","one polyp, located in bottom of the image","one small polyp, located in bottom of the image","['one small polyp which is a projecting growth of tissue located in bottom of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one small polyp which is a small lump in the lining of colon located in bottom of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
12.jpg,12.png,,polyp,medium polyp,nine polyp,"polyp, located in center, top left, top left, top left, top left, top left, top left, top left, top left of the image",nine medium polyp,"medium polyp, located in center, top left, top left, top left, top left, top left, top left, top left, top left of the image","nine polyp, located in center, top left, top left, top left, top left, top left, top left, top left, top left of the image","nine medium polyp, located in center, top left, top left, top left, top left, top left, top left, top left, top left of the image","['nine medium polyp which is a projecting growth of tissue located in center, top left, top left, top left, top left, top left, top left, top left, top left of the image', 'nine medium polyp which is often a bumpy flesh in rectum located in center, top left, top left, top left, top left, top left, top left, top left, top left of the image', 'nine medium polyp which is a small lump in the lining of colon located in center, top left, top left, top left, top left, top left, top left, top left, top left of the image', 'nine medium polyp which is a tissue growth that often resemble mushroom like stalks located in center, top left, top left, top left, top left, top left, top left, top left, top left of the image', 'nine medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center, top left, top left, top left, top left, top left, top left, top left, top left of the image']"
120.jpg,120.png,,polyp,small polyp,one polyp,"polyp, located in bottom of the image",one small polyp,"small polyp, located in bottom of the image","one polyp, located in bottom of the image","one small polyp, located in bottom of the image","['one small polyp which is a projecting growth of tissue located in bottom of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one small polyp which is a small lump in the lining of colon located in bottom of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
121.jpg,121.png,,polyp,small polyp,one polyp,"polyp, located in bottom right of the image",one small polyp,"small polyp, located in bottom right of the image","one polyp, located in bottom right of the image","one small polyp, located in bottom right of the image","['one small polyp which is a projecting growth of tissue located in bottom right of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom right of the image', 'one small polyp which is a small lump in the lining of colon located in bottom right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom right of the image']"
122.jpg,122.png,,polyp,small polyp,one polyp,"polyp, located in bottom right of the image",one small polyp,"small polyp, located in bottom right of the image","one polyp, located in bottom right of the image","one small polyp, located in bottom right of the image","['one small polyp which is a projecting growth of tissue located in bottom right of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom right of the image', 'one small polyp which is a small lump in the lining of colon located in bottom right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom right of the image']"
123.jpg,123.png,,polyp,medium polyp,one polyp,"polyp, located in bottom of the image",one medium polyp,"medium polyp, located in bottom of the image","one polyp, located in bottom of the image","one medium polyp, located in bottom of the image","['one medium polyp which is a projecting growth of tissue located in bottom of the image', 'one medium polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one medium polyp which is a small lump in the lining of colon located in bottom of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
124.jpg,124.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
125.jpg,125.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
126.jpg,126.png,,polyp,medium polyp,one polyp,"polyp, located in center of the image",one medium polyp,"medium polyp, located in center of the image","one polyp, located in center of the image","one medium polyp, located in center of the image","['one medium polyp which is a projecting growth of tissue located in center of the image', 'one medium polyp which is often a bumpy flesh in rectum located in center of the image', 'one medium polyp which is a small lump in the lining of colon located in center of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
127.jpg,127.png,,polyp,medium polyp,four polyp,"polyp, located in top left, left, left, right of the image",four medium polyp,"medium polyp, located in top left, left, left, right of the image","four polyp, located in top left, left, left, right of the image","four medium polyp, located in top left, left, left, right of the image","['four medium polyp which is a projecting growth of tissue located in top left, left, left, right of the image', 'four medium polyp which is often a bumpy flesh in rectum located in top left, left, left, right of the image', 'four medium polyp which is a small lump in the lining of colon located in top left, left, left, right of the image', 'four medium polyp which is a tissue growth that often resemble mushroom like stalks located in top left, left, left, right of the image', 'four medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top left, left, left, right of the image']"
128.jpg,128.png,,polyp,medium polyp,seven polyp,"polyp, located in left, left, left, left, left, left, bottom of the image",seven medium polyp,"medium polyp, located in left, left, left, left, left, left, bottom of the image","seven polyp, located in left, left, left, left, left, left, bottom of the image","seven medium polyp, located in left, left, left, left, left, left, bottom of the image","['seven medium polyp which is a projecting growth of tissue located in left, left, left, left, left, left, bottom of the image', 'seven medium polyp which is often a bumpy flesh in rectum located in left, left, left, left, left, left, bottom of the image', 'seven medium polyp which is a small lump in the lining of colon located in left, left, left, left, left, left, bottom of the image', 'seven medium polyp which is a tissue growth that often resemble mushroom like stalks located in left, left, left, left, left, left, bottom of the image', 'seven medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in left, left, left, left, left, left, bottom of the image']"
129.jpg,129.png,,polyp,medium polyp,one polyp,"polyp, located in bottom right of the image",one medium polyp,"medium polyp, located in bottom right of the image","one polyp, located in bottom right of the image","one medium polyp, located in bottom right of the image","['one medium polyp which is a projecting growth of tissue located in bottom right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in bottom right of the image', 'one medium polyp which is a small lump in the lining of colon located in bottom right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in bottom right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom right of the image']"
13.jpg,13.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
130.jpg,130.png,,polyp,medium polyp,one polyp,"polyp, located in bottom of the image",one medium polyp,"medium polyp, located in bottom of the image","one polyp, located in bottom of the image","one medium polyp, located in bottom of the image","['one medium polyp which is a projecting growth of tissue located in bottom of the image', 'one medium polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one medium polyp which is a small lump in the lining of colon located in bottom of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
131.jpg,131.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
132.jpg,132.png,,polyp,small polyp,one polyp,"polyp, located in bottom right of the image",one small polyp,"small polyp, located in bottom right of the image","one polyp, located in bottom right of the image","one small polyp, located in bottom right of the image","['one small polyp which is a projecting growth of tissue located in bottom right of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom right of the image', 'one small polyp which is a small lump in the lining of colon located in bottom right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom right of the image']"
133.jpg,133.png,,polyp,small polyp,one polyp,"polyp, located in bottom right of the image",one small polyp,"small polyp, located in bottom right of the image","one polyp, located in bottom right of the image","one small polyp, located in bottom right of the image","['one small polyp which is a projecting growth of tissue located in bottom right of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom right of the image', 'one small polyp which is a small lump in the lining of colon located in bottom right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom right of the image']"
134.jpg,134.png,,polyp,large polyp,eleven polyp,"polyp, located in top left, center, top left, top left, top left, top left, top left, top left, top left, top left, top left of the image",eleven large polyp,"large polyp, located in top left, center, top left, top left, top left, top left, top left, top left, top left, top left, top left of the image","eleven polyp, located in top left, center, top left, top left, top left, top left, top left, top left, top left, top left, top left of the image","eleven large polyp, located in top left, center, top left, top left, top left, top left, top left, top left, top left, top left, top left of the image","['eleven large polyp which is a projecting growth of tissue located in top left, center, top left, top left, top left, top left, top left, top left, top left, top left, top left of the image', 'eleven large polyp which is often a bumpy flesh in rectum located in top left, center, top left, top left, top left, top left, top left, top left, top left, top left, top left of the image', 'eleven large polyp which is a small lump in the lining of colon located in top left, center, top left, top left, top left, top left, top left, top left, top left, top left, top left of the image', 'eleven large polyp which is a tissue growth that often resemble mushroom like stalks located in top left, center, top left, top left, top left, top left, top left, top left, top left, top left, top left of the image', 'eleven large polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top left, center, top left, top left, top left, top left, top left, top left, top left, top left, top left of the image']"
135.jpg,135.png,,polyp,small polyp,one polyp,"polyp, located in bottom right of the image",one small polyp,"small polyp, located in bottom right of the image","one polyp, located in bottom right of the image","one small polyp, located in bottom right of the image","['one small polyp which is a projecting growth of tissue located in bottom right of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom right of the image', 'one small polyp which is a small lump in the lining of colon located in bottom right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom right of the image']"
136.jpg,136.png,,polyp,small polyp,one polyp,"polyp, located in bottom right of the image",one small polyp,"small polyp, located in bottom right of the image","one polyp, located in bottom right of the image","one small polyp, located in bottom right of the image","['one small polyp which is a projecting growth of tissue located in bottom right of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom right of the image', 'one small polyp which is a small lump in the lining of colon located in bottom right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom right of the image']"
137.jpg,137.png,,polyp,small polyp,one polyp,"polyp, located in bottom right of the image",one small polyp,"small polyp, located in bottom right of the image","one polyp, located in bottom right of the image","one small polyp, located in bottom right of the image","['one small polyp which is a projecting growth of tissue located in bottom right of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom right of the image', 'one small polyp which is a small lump in the lining of colon located in bottom right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom right of the image']"
138.jpg,138.png,,polyp,small polyp,one polyp,"polyp, located in bottom of the image",one small polyp,"small polyp, located in bottom of the image","one polyp, located in bottom of the image","one small polyp, located in bottom of the image","['one small polyp which is a projecting growth of tissue located in bottom of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one small polyp which is a small lump in the lining of colon located in bottom of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
139.jpg,139.png,,polyp,small polyp,one polyp,"polyp, located in bottom of the image",one small polyp,"small polyp, located in bottom of the image","one polyp, located in bottom of the image","one small polyp, located in bottom of the image","['one small polyp which is a projecting growth of tissue located in bottom of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one small polyp which is a small lump in the lining of colon located in bottom of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
14.jpg,14.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
140.jpg,140.png,,polyp,small polyp,one polyp,"polyp, located in bottom of the image",one small polyp,"small polyp, located in bottom of the image","one polyp, located in bottom of the image","one small polyp, located in bottom of the image","['one small polyp which is a projecting growth of tissue located in bottom of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one small polyp which is a small lump in the lining of colon located in bottom of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
141.jpg,141.png,,polyp,small polyp,one polyp,"polyp, located in bottom of the image",one small polyp,"small polyp, located in bottom of the image","one polyp, located in bottom of the image","one small polyp, located in bottom of the image","['one small polyp which is a projecting growth of tissue located in bottom of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one small polyp which is a small lump in the lining of colon located in bottom of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
142.jpg,142.png,,polyp,small polyp,one polyp,"polyp, located in bottom of the image",one small polyp,"small polyp, located in bottom of the image","one polyp, located in bottom of the image","one small polyp, located in bottom of the image","['one small polyp which is a projecting growth of tissue located in bottom of the image', 'one small polyp which is often a bumpy flesh in rectum located in bottom of the image', 'one small polyp which is a small lump in the lining of colon located in bottom of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in bottom of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom of the image']"
143.jpg,143.png,,polyp,small polyp,one polyp,"polyp, located in center of the image",one small polyp,"small polyp, located in center of the image","one polyp, located in center of the image","one small polyp, located in center of the image","['one small polyp which is a projecting growth of tissue located in center of the image', 'one small polyp which is often a bumpy flesh in rectum located in center of the image', 'one small polyp which is a small lump in the lining of colon located in center of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
144.jpg,144.png,,polyp,small polyp,one polyp,"polyp, located in right of the image",one small polyp,"small polyp, located in right of the image","one polyp, located in right of the image","one small polyp, located in right of the image","['one small polyp which is a projecting growth of tissue located in right of the image', 'one small polyp which is often a bumpy flesh in rectum located in right of the image', 'one small polyp which is a small lump in the lining of colon located in right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
