image,masks,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
125.jpg,125.png,,polyp,medium polyp,one polyp,"polyp, located in center of the image",one medium polyp,"medium polyp, located in center of the image","one polyp, located in center of the image","one medium polyp, located in center of the image","['one medium polyp which is a projecting growth of tissue located in center of the image', 'one medium polyp which is often a bumpy flesh in rectum located in center of the image', 'one medium polyp which is a small lump in the lining of colon located in center of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
126.jpg,126.png,,polyp,small polyp,one polyp,"polyp, located in left of the image",one small polyp,"small polyp, located in left of the image","one polyp, located in left of the image","one small polyp, located in left of the image","['one small polyp which is a projecting growth of tissue located in left of the image', 'one small polyp which is often a bumpy flesh in rectum located in left of the image', 'one small polyp which is a small lump in the lining of colon located in left of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in left of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in left of the image']"
127.jpg,127.png,,polyp,medium polyp,two polyp,"polyp, located in top left, right of the image",two medium polyp,"medium polyp, located in top left, right of the image","two polyp, located in top left, right of the image","two medium polyp, located in top left, right of the image","['two medium polyp which is a projecting growth of tissue located in top left, right of the image', 'two medium polyp which is often a bumpy flesh in rectum located in top left, right of the image', 'two medium polyp which is a small lump in the lining of colon located in top left, right of the image', 'two medium polyp which is a tissue growth that often resemble mushroom like stalks located in top left, right of the image', 'two medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top left, right of the image']"
128.jpg,128.png,,polyp,small polyp,one polyp,"polyp, located in right of the image",one small polyp,"small polyp, located in right of the image","one polyp, located in right of the image","one small polyp, located in right of the image","['one small polyp which is a projecting growth of tissue located in right of the image', 'one small polyp which is often a bumpy flesh in rectum located in right of the image', 'one small polyp which is a small lump in the lining of colon located in right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
129.jpg,129.png,,polyp,small polyp,two polyp,"polyp, located in center, bottom right of the image",two small polyp,"small polyp, located in center, bottom right of the image","two polyp, located in center, bottom right of the image","two small polyp, located in center, bottom right of the image","['two small polyp which is a projecting growth of tissue located in center, bottom right of the image', 'two small polyp which is often a bumpy flesh in rectum located in center, bottom right of the image', 'two small polyp which is a small lump in the lining of colon located in center, bottom right of the image', 'two small polyp which is a tissue growth that often resemble mushroom like stalks located in center, bottom right of the image', 'two small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center, bottom right of the image']"
13.jpg,13.png,,polyp,small polyp,one polyp,"polyp, located in top of the image",one small polyp,"small polyp, located in top of the image","one polyp, located in top of the image","one small polyp, located in top of the image","['one small polyp which is a projecting growth of tissue located in top of the image', 'one small polyp which is often a bumpy flesh in rectum located in top of the image', 'one small polyp which is a small lump in the lining of colon located in top of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in top of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top of the image']"
130.jpg,130.png,,polyp,small polyp,one polyp,"polyp, located in center of the image",one small polyp,"small polyp, located in center of the image","one polyp, located in center of the image","one small polyp, located in center of the image","['one small polyp which is a projecting growth of tissue located in center of the image', 'one small polyp which is often a bumpy flesh in rectum located in center of the image', 'one small polyp which is a small lump in the lining of colon located in center of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
131.jpg,131.png,,polyp,small polyp,two polyp,"polyp, located in top, bottom of the image",two small polyp,"small polyp, located in top, bottom of the image","two polyp, located in top, bottom of the image","two small polyp, located in top, bottom of the image","['two small polyp which is a projecting growth of tissue located in top, bottom of the image', 'two small polyp which is often a bumpy flesh in rectum located in top, bottom of the image', 'two small polyp which is a small lump in the lining of colon located in top, bottom of the image', 'two small polyp which is a tissue growth that often resemble mushroom like stalks located in top, bottom of the image', 'two small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top, bottom of the image']"
132.jpg,132.png,,polyp,medium polyp,one polyp,"polyp, located in left of the image",one medium polyp,"medium polyp, located in left of the image","one polyp, located in left of the image","one medium polyp, located in left of the image","['one medium polyp which is a projecting growth of tissue located in left of the image', 'one medium polyp which is often a bumpy flesh in rectum located in left of the image', 'one medium polyp which is a small lump in the lining of colon located in left of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in left of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in left of the image']"
133.jpg,133.png,,polyp,medium polyp,one polyp,"polyp, located in right of the image",one medium polyp,"medium polyp, located in right of the image","one polyp, located in right of the image","one medium polyp, located in right of the image","['one medium polyp which is a projecting growth of tissue located in right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in right of the image', 'one medium polyp which is a small lump in the lining of colon located in right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
134.jpg,134.png,,polyp,medium polyp,one polyp,"polyp, located in bottom right of the image",one medium polyp,"medium polyp, located in bottom right of the image","one polyp, located in bottom right of the image","one medium polyp, located in bottom right of the image","['one medium polyp which is a projecting growth of tissue located in bottom right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in bottom right of the image', 'one medium polyp which is a small lump in the lining of colon located in bottom right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in bottom right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom right of the image']"
135.jpg,135.png,,polyp,large polyp,one polyp,"polyp, located in left of the image",one large polyp,"large polyp, located in left of the image","one polyp, located in left of the image","one large polyp, located in left of the image","['one large polyp which is a projecting growth of tissue located in left of the image', 'one large polyp which is often a bumpy flesh in rectum located in left of the image', 'one large polyp which is a small lump in the lining of colon located in left of the image', 'one large polyp which is a tissue growth that often resemble mushroom like stalks located in left of the image', 'one large polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in left of the image']"
136.jpg,136.png,,polyp,small polyp,one polyp,"polyp, located in center of the image",one small polyp,"small polyp, located in center of the image","one polyp, located in center of the image","one small polyp, located in center of the image","['one small polyp which is a projecting growth of tissue located in center of the image', 'one small polyp which is often a bumpy flesh in rectum located in center of the image', 'one small polyp which is a small lump in the lining of colon located in center of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
137.jpg,137.png,,polyp,medium polyp,one polyp,"polyp, located in center of the image",one medium polyp,"medium polyp, located in center of the image","one polyp, located in center of the image","one medium polyp, located in center of the image","['one medium polyp which is a projecting growth of tissue located in center of the image', 'one medium polyp which is often a bumpy flesh in rectum located in center of the image', 'one medium polyp which is a small lump in the lining of colon located in center of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
138.jpg,138.png,,polyp,small polyp,one polyp,"polyp, located in right of the image",one small polyp,"small polyp, located in right of the image","one polyp, located in right of the image","one small polyp, located in right of the image","['one small polyp which is a projecting growth of tissue located in right of the image', 'one small polyp which is often a bumpy flesh in rectum located in right of the image', 'one small polyp which is a small lump in the lining of colon located in right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
139.jpg,139.png,,polyp,small polyp,one polyp,"polyp, located in right of the image",one small polyp,"small polyp, located in right of the image","one polyp, located in right of the image","one small polyp, located in right of the image","['one small polyp which is a projecting growth of tissue located in right of the image', 'one small polyp which is often a bumpy flesh in rectum located in right of the image', 'one small polyp which is a small lump in the lining of colon located in right of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in right of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in right of the image']"
14.jpg,14.png,,polyp,small polyp,one polyp,"polyp, located in top of the image",one small polyp,"small polyp, located in top of the image","one polyp, located in top of the image","one small polyp, located in top of the image","['one small polyp which is a projecting growth of tissue located in top of the image', 'one small polyp which is often a bumpy flesh in rectum located in top of the image', 'one small polyp which is a small lump in the lining of colon located in top of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in top of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top of the image']"
140.jpg,140.png,,polyp,large polyp,two polyp,"polyp, located in top left, center of the image",two large polyp,"large polyp, located in top left, center of the image","two polyp, located in top left, center of the image","two large polyp, located in top left, center of the image","['two large polyp which is a projecting growth of tissue located in top left, center of the image', 'two large polyp which is often a bumpy flesh in rectum located in top left, center of the image', 'two large polyp which is a small lump in the lining of colon located in top left, center of the image', 'two large polyp which is a tissue growth that often resemble mushroom like stalks located in top left, center of the image', 'two large polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top left, center of the image']"
141.jpg,141.png,,polyp,medium polyp,one polyp,"polyp, located in center of the image",one medium polyp,"medium polyp, located in center of the image","one polyp, located in center of the image","one medium polyp, located in center of the image","['one medium polyp which is a projecting growth of tissue located in center of the image', 'one medium polyp which is often a bumpy flesh in rectum located in center of the image', 'one medium polyp which is a small lump in the lining of colon located in center of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
142.jpg,142.png,,polyp,medium polyp,one polyp,"polyp, located in bottom right of the image",one medium polyp,"medium polyp, located in bottom right of the image","one polyp, located in bottom right of the image","one medium polyp, located in bottom right of the image","['one medium polyp which is a projecting growth of tissue located in bottom right of the image', 'one medium polyp which is often a bumpy flesh in rectum located in bottom right of the image', 'one medium polyp which is a small lump in the lining of colon located in bottom right of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in bottom right of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in bottom right of the image']"
143.jpg,143.png,,polyp,medium polyp,two polyp,"polyp, located in top left, right of the image",two medium polyp,"medium polyp, located in top left, right of the image","two polyp, located in top left, right of the image","two medium polyp, located in top left, right of the image","['two medium polyp which is a projecting growth of tissue located in top left, right of the image', 'two medium polyp which is often a bumpy flesh in rectum located in top left, right of the image', 'two medium polyp which is a small lump in the lining of colon located in top left, right of the image', 'two medium polyp which is a tissue growth that often resemble mushroom like stalks located in top left, right of the image', 'two medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top left, right of the image']"
144.jpg,144.png,,polyp,large polyp,two polyp,"polyp, located in top left, left of the image",two large polyp,"large polyp, located in top left, left of the image","two polyp, located in top left, left of the image","two large polyp, located in top left, left of the image","['two large polyp which is a projecting growth of tissue located in top left, left of the image', 'two large polyp which is often a bumpy flesh in rectum located in top left, left of the image', 'two large polyp which is a small lump in the lining of colon located in top left, left of the image', 'two large polyp which is a tissue growth that often resemble mushroom like stalks located in top left, left of the image', 'two large polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in top left, left of the image']"
145.jpg,145.png,,polyp,small polyp,one polyp,"polyp, located in center of the image",one small polyp,"small polyp, located in center of the image","one polyp, located in center of the image","one small polyp, located in center of the image","['one small polyp which is a projecting growth of tissue located in center of the image', 'one small polyp which is often a bumpy flesh in rectum located in center of the image', 'one small polyp which is a small lump in the lining of colon located in center of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
146.jpg,146.png,,polyp,medium polyp,one polyp,"polyp, located in center of the image",one medium polyp,"medium polyp, located in center of the image","one polyp, located in center of the image","one medium polyp, located in center of the image","['one medium polyp which is a projecting growth of tissue located in center of the image', 'one medium polyp which is often a bumpy flesh in rectum located in center of the image', 'one medium polyp which is a small lump in the lining of colon located in center of the image', 'one medium polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one medium polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
147.jpg,147.png,,polyp,small polyp,one polyp,"polyp, located in center of the image",one small polyp,"small polyp, located in center of the image","one polyp, located in center of the image","one small polyp, located in center of the image","['one small polyp which is a projecting growth of tissue located in center of the image', 'one small polyp which is often a bumpy flesh in rectum located in center of the image', 'one small polyp which is a small lump in the lining of colon located in center of the image', 'one small polyp which is a tissue growth that often resemble mushroom like stalks located in center of the image', 'one small polyp which is an abnormal growth of tissues projecting from a mucuos membrane located in center of the image']"
